Site	Age	Oumbo	Cprae	Numbo	Ntrump	Cgrims	Cwuel	Cmundu	Gbecc
926	12.002	0.94					1.18	1.13	
926	12.613	0.92					1.25		
926	12.813	0.96					1.25	1.16	
926	13.389	0.96					1.24	1.19	
926	13.592						1.21	1.15	
926	13.772	0.97							
926	5.498	0.84					1.12		
926	6.012	0.8		0.68					
926	6.012	0.81		0.64					
926	6.018	0.8		0.66			1.11		
926	6.018	0.8		0.65					
926	6.026	0.79		0.68					
926	6.026			0.66					
926	6.032	0.84		0.68			1.1	1.05	
926	6.032	0.8		0.67				1.07	
926	6.032	0.79							
926	6.036	0.99		0.65					
926	6.036	0.81		0.76				1.01	
926	6.04	0.77		0.66				0.99	
926	6.04	0.81						1	
926	6.045	0.84		0.66				1	
926	6.045	0.79							
926	6.049	0.77		0.66				1.05	
926	6.049	0.79							
926	6.053	0.79		0.67				1.05	
926	6.057	0.79		0.65					
926	6.061			0.66				1.02	
926	6.065	0.8		0.67				1.04	
926	6.069	0.82		0.68					
926	6.069	0.81		0.66					
926	6.072	0.82		0.67					
926	8.504	0.84		0.76				1.04	
926	8.599	0.85		0.7				1.02	
1052	36.356								
1052	36.363		1.18						
1052	36.366								
1052	36.372								
1052	36.375								
1052	36.381								
1052	36.384		1.21						
1052	36.387								
1052	36.39								
1052	36.4								
1052	36.637	0.98							
1052	36.64	0.98	1.18		0.93				
1052	36.64	0.96			0.92				
1052	36.643	0.99			0.91				
1052	36.646	0.98			0.93				
1052	36.649				0.93				
1052	36.652	0.98							
1052	36.655								
1052	36.659								
1052	36.662								
1052	36.668								
1052	36.671		1.23						
1052	36.674								
1052	36.677								
1052	36.68								
1052	36.683								
1052	36.686								
1052	36.689								
1052	36.692								
1052	36.696								
1052	36.699								
1052	36.705								
